"","ID","BEEP_TIME","DAY","INEG","IPOS","RUM","SAV","SHAREN","SHAREP","PP","PPP","GEN","AGE"
"175",841102158,2020-04-10 16:18:00,1,NA,"3","NA","7",NA,"7","0.94","1.08",1,34
"176",446957952,2020-04-10 13:51:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
"177",446957952,2020-04-10 16:49:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
"178",446957952,2020-04-10 18:07:00,1,NA,"1","NA","0",NA,"0","0.97","0.65",2,24
"179",241515814,2020-04-10 16:19:00,1,-1,"NA","5","NA",5,"NA","0.46","0.52",1,26
"180",241515814,2020-04-10 16:49:00,1,-1,"NA","5","NA",5,"NA","0.46","0.52",1,26
"181",241515814,2020-04-14 13:26:00,4,-1,"NA","4","NA",4,"NA","0.46","0.52",1,26
"182",241515814,2020-04-11 12:54:00,2,NA,"1","NA","4",NA,"5","0.46","0.80",1,26
"183",241515814,2020-04-11 14:14:00,2,NA,"1","NA","3",NA,"5","0.46","0.80",1,26
"184",241515814,2020-04-13 15:25:00,3,NA,"1","NA","2",NA,"4","0.46","0.80",1,26
"185",241515814,2020-04-13 19:49:00,3,NA,"1","NA","3",NA,"2","0.46","0.80",1,26
